Keywords (Clem)
"January 1, 2026 - April 26, 2026"
Search keyword,Search keyword status,Search keyword match type,Campaign,Ad group,Quality Score,Ad relevance,Landing page exp.,Exp. CTR,Currency code,Cost,Impr.,Clicks,Conversions,Search impr. share,Search lost IS (rank),Impr. (Abs. Top) %,Impr. (Top) %
woocommerce fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Woocommerce Fulfillment,1,Below average,Below average,Below average,USD,36.19,35,1,0.00,15.45%,71.36%,32.35%,82.35%
woocommerce order fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Woocommerce Fulfillment,1,Below average,Below average,Below average,USD,0.00,6,0,0.00,12.24%,61.22%,0.00%,50.00%
woocommerce 3pl,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Woocommerce Fulfillment,1,Below average,Below average,Below average,USD,0.00,1,0,0.00,33.33%,66.67%,0.00%,100.00%
order fulfillment provider for woocommerce,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Woocommerce Fulfillment,1,Below average,Below average,Below average,USD,0.00,1,0,0.00,100.00%,0.00%,0.00%,0.00%
magento fulfillment services,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,Magento Fulfillment,1,Below average,Below average,Below average,USD,0.00,12,0,0.00,13.75%,76.25%,36.36%,90.91%
etsy order fulfillment,Limited,Phrase match,Ecommerce Fulfillment Selling | Handled | Search | TDM,etsy fulfillment,1,Below average,Below average,Below average,USD,68.79,49,6,0.00,23.15%,66.50%,51.06%,76.60%
beauty order fulfillment,Limited,Phrase match,Cosmetics Fulfillment Services | Handled | Search | TDM,beauty fulfillment,1,Below average,Below average,Below average,USD,407.89,149,19,0.00,40.25%,53.11%,26.32%,85.26%
order fulfillment california,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,California Fulfillment,1,Below average,Below average,Below average,USD,727.30,412,36,0.00,11.07%,58.66%,30.69%,83.39%
3pl companies in southern california,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Southern California fulfillment,1,Below average,Below average,Below average,USD,5.82,24,1,0.00,22.22%,50.00%,30.00%,75.00%
fulfillment companies in southern california,Limited,Phrase match,West Coast Fulfillment Services | Handled | Search | TDM,Southern California fulfillment,1,Below average,Below average,Below average,USD,0.00,0,0,0.00,12.50%,75.00%,0,0
3pl near me,Limited,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me,1,Below average,Below average,Below average,USD,182.07,228,12,0.00,11.31%,57.77%,17.81%,82.19%
fulfillment companies near me,Limited,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me,1,Below average,Below average,Below average,USD,9.70,7,2,0.00,14.29%,78.57%,50.00%,100.00%
3pl logistics near me,Limited,Phrase match,East Coast Fulfillment Services | Handled | Search | TDM,Near Me,1,Below average,Below average,Below average,USD,13.64,39,2,0.00,10.53%,58.95%,20.00%,80.00%
fulfillment new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
nj fulfillment,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
pick and pack new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3rd party logistics near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fba prep new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment companies in new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new jersey fulfillment center,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new jersey fulfillment warehousing,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
nj fulfillment services,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics companies near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl center nj,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl companies in new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3rd party logistics nj,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl center new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl logistics near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics companies in new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment services near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl fulfillment center near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new jersey 3pl warehouse,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
warehousing and distribution nj,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl logistics companies near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl logistics company near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new jersey 3pl companies,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new jersey order fulfillment,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fba prep services near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl services near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment house near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new jersey fulfillment companies,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new jersey fulfillment warehouse companies,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3 pl warehousing near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fba prep near me,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse edison nj,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfilment center nj,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
kitting new jersey,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl nj corp,Not eligible,Phrase match,Locations - NJ,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new york fulfillment,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment new york,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment nyc,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl new york,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl nyc,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center nyc,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse new york,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment new york,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment nyc,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment services new york,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment warehouse near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3rd party logistics near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment services near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new york fulfillment services,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ny fulfillment services,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment warehouse ny,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3rd party logistics companies near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics companies near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl logistics near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfilment companies near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment services near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl fulfillment center near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new york 3pl,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ny 3pl,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl logistics companies near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl logistics company near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
clothing fulfillment companies near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center brooklyn ny,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
kitting services near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl services near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl companies in new york,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl in new york,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment house near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3 pl warehousing near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center for small business near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
warehousing and fulfillment services near me,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
new york fulfillment house,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ny fulfillment house,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center bronx,Not eligible,Phrase match,Locations - NY,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfillment,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment warehouse los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment services los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment house los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center los angeles ca,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl la,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment companies los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
ecommerce fulfillment los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfillment warehouse,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
order fulfillment los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl logistics los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl companies los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles ecommerce fulfillment,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles fulfillment centers,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
la fulfillment,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
los angeles 3pl,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3rd party logistics los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics companies in los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
la 3pl,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics in los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
fulfillment center los angeles california,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse in los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
3pl warehouse la,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
third party logistics services in los angeles,Not eligible,Broad match,Locations - Los Angeles 2 #2,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify fulfillment,Not eligible,Exact match,Shopify Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
shopify fulfillment services,Not eligible,Phrase match,Shopify Fulfillment,Ad group 1, --, --, --, --,USD,0.00,0,0,0.00, --, --,0,0
